Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7cVTDnm81Aw0Oe5WNPpZF8,"19Hundra80Sju","Kickar (Singlar 1981 - 1987)","Imperiet",1990-01-01,192533,24,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop,punk","MNW Music AB",0.562,0.831,9,-9.935,1,0.0438,0.00164,0.0000107,0.141,0.696,128.226,4
spotify:track:47KyjSYbTBolLgz8HNFXz5,"ABC","Killsnack","Anna Book",1985-05-26,186506,33,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"schlager,dansband,swedish pop","Columbia",0.599,0.65,2,-13.552,1,0.042,0.204,0,0.286,0.883,142.666,4
spotify:track:3Bj6sEYPggZv0swjgLfgrx,"Alexandra","II","Sound of Music",1987-03-15,180680,5,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop,dansband","Columbia",0.657,0.656,11,-12.273,1,0.0395,0.634,0,0.0849,0.958,134.804,4
spotify:track:70IZGGvS20lWpdwC0tll0E,"All of Your Attention","Diamanter - 80-Talet","Visitors",2013-12-27,203840,3,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop","Parlophone Sweden",0.674,0.791,5,-9.475,0,0.031,0.318,0.00217,0.107,0.977,135.454,4
spotify:track:2LoC5OOwNjf5MguZoJKPBf,"Allt som jag känner","Sommar, sommar, sommar","Tone Norum;Tommy Nilsson",1997-01-01,252800,46,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop,aor","Universal Music AB",0.461,0.765,0,-8.657,1,0.0361,0.396,0,0.0766,0.659,171.45,4
spotify:track:5OHcIW10h97ZoIH1PCsyRH,"Canelloni Macaroni","Lasse Holm","Lasse Holm",1986,267409,53,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"dansband,schlager,swedish pop","WM Sweden",0.583,0.92,3,-5.717,1,0.03,0.0105,0.000013,0.448,0.627,133.745,4
spotify:track:29wJiSQcze8HEmxkUQykyp,"Carrie","The Final Countdown (Expanded Edition)","Europe",1986,272133,72,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"glam metal","Portrait/Epic/Legacy",0.455,0.487,7,-7.112,1,0.0264,0.114,0.00000243,0.358,0.139,136.482,4
spotify:track:2Gah9qQMVdxCZJllU9HmnZ,"Cherokee","The Final Countdown (Expanded Edition)","Europe",1986,252933,52,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"glam metal","Portrait/Epic/Legacy",0.585,0.804,4,-6.205,0,0.044,0.0246,0.00000107,0.179,0.673,111.118,4
spotify:track:0jZ4fre462hosE6k5EgRVS,"Dansa i neon","Dansa i neon","Lena Philipsson",1987,203466,44,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop,schlager,dansband","WM Sweden",0.605,0.853,9,-5.281,0,0.0344,0.156,0.117,0.194,0.52,127.657,4
spotify:track:45KlEPPU38wRcAjz1JhNuh,"Don't Say Go","Dancing in the shadows","Trance Dance",1988-03-03,237493,30,false,8blrladeh06ispxcd2fkwkdel,2026-04-01T14:31:15Z,"swedish pop","Columbia",0.658,0.888,0,-10.646,1,0.0351,0.048,0.0283,0.386,0.88,118.186,4
