Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OspxAgDSK5gU6HgTt7wHr,"100%","100%","Lotta Engberg",1994,179493,29,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"dansband,christmas","Parlophone Sweden",0.688,0.802,0,-10.159,1,0.0319,0.645,0,0.136,0.818,140.015,4
spotify:track:5CPC5UOtTolj5juig1WDDb,"Akta dej!","Zick Zack","Björn Skifs",1988,204746,35,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"","Parlophone Sweden",0.494,0.954,11,-2.876,1,0.0496,0.00624,0.192,0.15,0.481,131.668,4
spotify:track:3XWgwgbWDI56mf1Wl3cLzb,"Buffalo Stance","Raw Like Sushi","Neneh Cherry",1989-01-01,342360,58,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"","Circa",0.708,0.627,1,-11.155,1,0.0614,0.0113,0.0000313,0.338,0.764,107.246,4
spotify:track:0vyzaguBNqoFgJvSHYa5Fi,"Dangerous","Look Sharp!","Roxette",1988-10-21,228866,68,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","WM Sweden",0.712,0.898,4,-4.893,1,0.0336,0.0485,0.00000618,0.148,0.961,124.41,4
spotify:track:3Fk7ibKSHJH3XKzK5kIFeP,"Dansa din djävul","För Sverige i rymden","Di Leva",1999-05-28,204826,14,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","WM Sweden",0.604,0.955,7,-7.92,1,0.0501,0.00659,0.00057,0.108,0.759,112.775,4
spotify:track:4UBYbC0qKvmUvgJgyDKJDV,"Dansar i månens sken","Om","Suzzies Orkester",1988-01-01,237600,43,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop,dansband","Universal Music AB",0.591,0.668,2,-10.709,1,0.0356,0.0397,0.00000775,0.158,0.691,119.754,4
spotify:track:0pE865GpZhnAw0yeFvyRKM,"De sista ljuva åren","Livets ljusa sida","Lasse Stefanz;Christina Lindberg",1988,230213,45,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"dansband,epadunk,rockabilly","Parlophone Sweden",0.607,0.847,11,-3.164,1,0.0281,0.384,0.0000212,0.344,0.78,121.683,4
spotify:track:7ppiyPEgnV73SeGXSFcd08,"Det finns inga mirakel","Närmare gränsen","Peter LeMarc",1988-08-03,285706,42,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","Peter LeMarc",0.749,0.794,7,-7.229,1,0.0345,0.215,0.0000229,0.114,0.88,113.542,4
spotify:track:6OjTQyRybsRv9GUmKKbAvp,"Did I Tell You","Jerry Williams / JW","Jerry Williams",1989-01-01,255933,48,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"rockabilly,dansband,swedish pop","Universal Music AB",0.622,0.767,5,-11.259,1,0.0289,0.0638,0.0000204,0.0752,0.923,131.514,4
spotify:track:09dB7Wv84s7uY40YbbeqG0,"Dressed For Success","Look Sharp!","Roxette",1988-10-21,249840,63,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","WM Sweden",0.744,0.67,5,-5.305,1,0.0298,0.083,0,0.184,0.856,119.71,4
spotify:track:08F1DIniNSqNTKuYJ6rehA,"Free Like an Eagle","Talk Of The Town","Talk Of The Town",1999,219480,28,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"aor,arena rock,christian bluegrass","Parlophone Sweden",0.616,0.924,5,-4.869,0,0.0325,0.0175,0.00000146,0.0834,0.663,130.061,4
spotify:track:47QGNS2VoCKOHtEgG3JvcU,"Från Djursholm till Danvikstull","Orup","Orup",1988-03-03,225133,34,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","WM Sweden",0.731,0.399,2,-10.908,0,0.0256,0.689,0,0.084,0.364,96.817,4
spotify:track:6miFd0fg8XilPfcqKXDRvR,"I en annan del av världen","Tusen eldar","Freda'",1988-03-08,273160,38,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop","Record Station",0.638,0.676,9,-10.161,0,0.0326,0.554,0.00181,0.289,0.61,97.076,4
spotify:track:74jRgUqaxMa0nshdR4UDIi,"I hennes sovrum","Tiggarens tal","Imperiet",1988-01-01,162600,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-02T21:29:53Z,"swedish pop,punk","MNW Music AB",0.411,0.191,2,-17.646,1,0.0355,0.794,0,0.0935,0.547,146.41,4
