Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3WdLb11xMR9caAdCvqeLzC,"(Kom så ska vi) Leva livet","Moderna Tider","Gyllene Tider",1981-03-10,213093,53,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"swedish pop,dansband","Parlophone Sweden",0.499,0.918,0,-5.22,1,0.0928,0.0156,0,0.0724,0.585,158.933,4
spotify:track:5LG3PSIeUJCiNy2S7DynFu,"3:ans spårvagn genom ljuva livet","Genom ljuva livet","Eldkvarn",1981-01-01,201200,33,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"swedish pop,bisrock","MNW Music AB",0.594,0.714,9,-11.993,1,0.0304,0.00124,0,0.0884,0.852,118.774,4
spotify:track:3zgJHNEorjbLLThp6TiMhz,"800°","Kärlek och uppror","Ebba Grön",1981-01-01,227333,50,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"punk,swedish pop","MNW Music AB",0.334,0.845,4,-12.563,1,0.0625,0.0285,0,0.179,0.352,169.503,4
spotify:track:5iYEXdtbDuFz0efumEbeak,"Banankontakt","The Golden Years","Electric Banana Band",1993,262733,40,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"swedish pop","Electric Banana Band",0.719,0.784,2,-8.243,0,0.0553,0.0574,0.029,0.348,0.812,121.939,3
spotify:track:3zxCIBiVSX6oNhe8LQYjh9,"Bara sport","En gó box","Galenskaparna & After Shave",1994,132826,30,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"dansband","Kulturtuben",0.735,0.665,11,-8.291,1,0.452,0.838,0,0.967,0.95,149.768,4
spotify:track:6LSKFEkkD99eTm3sA2e9LJ,"Blinkar Blå","Med rymden i blodet","Adolphson & Falk",1982-01-01,275703,32,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"christmas,swedish pop","Playground Music",0.854,0.397,6,-9.338,0,0.0547,0.333,0.173,0.0866,0.719,121.884,4
spotify:track:65i8lZDLaWoMEHP1XJqBtz,"Boeves psalm","XII sibiriska cyklar","Lars Hollmer",1981-03-20,150106,39,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"art rock","Silence Records",0.489,0.184,6,-11.523,1,0.0305,0.866,0.0353,0.112,0.828,145.475,4
spotify:track:5mRU08nK5JKfHbmr3Moti3,"Cruisin' On A Saturday Night","God Bless Rock'n'Roll","Jerry Williams",1982-01-01,200933,39,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"rockabilly,dansband,swedish pop","Universal Music AB",0.492,0.705,2,-10.086,1,0.045,0.0486,0.000182,0.168,0.896,134.057,4
spotify:track:4aJ1AoiwjzsOxWqabRTJd3,"Dag efter dag","20 bästa låtar","Chips",1997-01-01,174400,41,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"dansband,doo-wop,schlager,swedish pop","WM Sweden",0.514,0.968,1,-2.877,1,0.0593,0.235,0,0.294,0.591,132.364,4
spotify:track:5EDUhfn84BfHrS26RZ5vef,"Det är inte snön som faller","Det är inte snön som faller","Anders F. Rönnblom",1984-01-01,255866,23,false,8blrladeh06ispxcd2fkwkdel,2026-04-08T16:40:52Z,"bisrock,swedish pop,christmas","Universal Music AB",0.604,0.957,9,-7.193,1,0.0745,0.209,0,0.265,0.598,105.546,4
