Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:74jTexO94dFGyXGyeu8krd,"Beautiful Life","The Bridge","Ace of Base",1995-11-07,221186,72,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"eurodance,europop","Playground Music",0.749,0.988,0,-5.266,0,0.0387,0.202,0.00631,0.17,0.749,135.015,4
spotify:track:2O5MugeVVDlVs4ThMCy1Lm,"Lucky Love","The Bridge","Ace of Base",1995-11-07,175746,46,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"eurodance,europop","Playground Music",0.769,0.662,5,-7.238,1,0.0319,0.129,0.00102,0.0814,0.863,104.104,4
spotify:track:2PwSuNbl09wamnBWntgXms,"Give My Life - Radio Edit","Give My Life","Army Of Lovers",1995-01-01,235293,38,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop,dansband","Universal Music AB",0.711,0.865,0,-7.866,1,0.0397,0.028,0.0000571,0.589,0.936,110.061,4
spotify:track:7GW8gHSaruetBuMbRSdma9,"Stockholm i mitt hjärta","Sträck ut din hand","Lasse Berghagen",1995-01-01,249026,52,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop","Woah Dad!",0.621,0.59,2,-9.031,1,0.0305,0.548,0,0.269,0.557,110.061,4
spotify:track:1vbaVUGd4mAwJRYZZC5IPS,"Den glider in","Den glider in","Tre Kronor;Nick Borgen",1995-11-26,216346,39,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop","Sony Music Entertainment",0.611,0.859,0,-6.143,1,0.0358,0.0876,0,0.96,0.766,117.991,4
spotify:track:7lSwzsGSqiVuidQ113ilqO,"Vill Du Bli Min Fru","I Afton Logdans","Drängarna",1995-07-01,202133,52,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"acid jazz","Jam Lab Music",0.722,0.886,2,-6.42,1,0.0395,0.0412,0.000729,0.882,0.967,134.998,4
spotify:track:6GNbmjQVMdEbBu9iohtlmx,"Why Don't You, Why Don't I","Floating","Eric Gadd",1995,289893,31,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop","WM Sweden",0.726,0.589,7,-7.754,1,0.0397,0.0933,0.0000359,0.0897,0.473,93.004,4
spotify:track:5MqPII0xGIcRMRQUKPYqHN,"Hon är min","Glenmark Eriksson Strömstedt","Glenmark Eriksson Strömstedt;Anders Glenmark;Orup;Niklas Strömstedt",1995,266160,45,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop,epadunk,dansband,eurodance,aor,arena rock","WM Sweden",0.616,0.828,0,-8.07,1,0.0473,0.000798,0,0.11,0.523,142.003,4
spotify:track:2pIpooJWX5q8DIctvrdQP2,"Kung av sand","Konstpaus","Gyllene Tider",2000-01-01,279333,57,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"skate punk,punk,ska punk,melodic hardcore,pop punk,ska,hardcore punk","WM Sweden",0.374,0.659,7,-5.882,1,0.0264,0.0181,0,0.0714,0.498,78.185,4
spotify:track:57jACEEL668Blpn1tpQwVm,"Dance on Your Grave","6","Louise Hoffsten",1995-02-14,258440,15,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"dansband,christmas","RCA Records Label",0.56,0.847,7,-7.044,1,0.0436,0.000212,0.029,0.714,0.812,95.048,4
spotify:track:5E0DPn2m1oAigfof05lKmJ,"Se på mig","Johansen","Jan Johansen",1995,187026,50,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"","Capitol Music Group AB",0.689,0.506,4,-11.598,1,0.0276,0.271,0.00013,0.0959,0.743,133.657,4
spotify:track:2Fkz4vrOR6hRzvbwOtBfui,"Hubbabubba","Plast","Just D",1995-03-04,237653,28,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop","WM Sweden",0.782,0.839,1,-4.509,1,0.071,0.0374,0.00000528,0.0842,0.775,92.963,4
spotify:track:5FcLtziyamBcRj8ebHgXo3,"87-87","Plast","Just D",1995-03-04,273733,25,false,8blrladeh06ispxcd2fkwkdel,2026-04-28T20:09:09Z,"swedish pop","WM Sweden",0.885,0.683,1,-9.617,1,0.101,0.0201,0,0.0162,0.897,105.012,4
