Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3zgJHNEorjbLLThp6TiMhz,"800°","Kärlek och uppror","Ebba Grön",1981-01-01,227333,52,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:41:22Z,"punk,swedish pop","MNW Music AB",0.334,0.845,4,-12.563,1,0.0625,0.0285,0,0.179,0.352,169.503,4
spotify:track:6LSKFEkkD99eTm3sA2e9LJ,"Blinkar Blå","Med rymden i blodet","Adolphson & Falk",1982-01-01,275703,34,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:41:22Z,"christmas,swedish pop","Playground Music",0.854,0.397,6,-9.338,0,0.0547,0.333,0.173,0.0866,0.719,121.884,4
spotify:track:5OHcIW10h97ZoIH1PCsyRH,"Canelloni Macaroni","Lasse Holm","Lasse Holm",1986,267409,53,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:19:52Z,"dansband,swedish pop,schlager","WM Sweden",0.583,0.92,3,-5.717,1,0.03,0.0105,0.000013,0.448,0.627,133.745,4
spotify:track:0Vowxgt3vti8MyY3mioQAw,"Chess","Chess (The Original Recording / Remastered / Deluxe Edition)","Anders Eljas",2014-01-01,347226,33,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:19:15Z,"musicals","Polar Music International AB",0.285,0.214,7,-13.53,0,0.0307,0.852,0.899,0.107,0.0865,91.849,4
spotify:track:57jACEEL668Blpn1tpQwVm,"Dance on Your Grave","6","Louise Hoffsten",1995-02-14,258440,15,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T18:31:44Z,"swedish pop","RCA Records Label",0.56,0.847,7,-7.044,1,0.0436,0.000212,0.029,0.714,0.812,95.048,4
spotify:track:3Fk7ibKSHJH3XKzK5kIFeP,"Dansa din djävul","För Sverige i rymden","Di Leva",1999-05-28,204826,13,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:20:36Z,"swedish pop","WM Sweden",0.604,0.955,7,-7.92,1,0.0501,0.00659,0.00057,0.108,0.759,112.775,4
spotify:track:0mxxZVN7OEk3hWLuBCpNbP,"Deidres samba","Det Bästa 1983 - 2002","Anne-Lie Rydé",2002-03-15,330057,13,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:21:19Z,"swedish pop,dansband","Parlophone Sweden",0.644,0.911,11,-7.96,1,0.0945,0.39,0.0000237,0.0874,0.258,124.741,4
spotify:track:0S1nTYJUNSKpuJkkG4gucV,"En sån karl","Du är den ende","Lill Lindfors",1987-01-01,167240,41,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:37:44Z,"swedish pop,dansband","Universal Music AB",0.488,0.362,7,-14.211,1,0.0262,0.247,0.0000041,0.0695,0.31,95.24,4
spotify:track:1UkAsSx1yw8bHDCpr8mkCg,"Ett enskilt rum på Sabbatsberg","Sordin","John Holm",1972,287666,31,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:38:19Z,"swedish pop,bisrock","WM Sweden",0.365,0.239,0,-16.399,0,0.0377,0.705,0.0648,0.136,0.108,139.625,4
spotify:track:2HkXUCtoIYkFLf28kSFslF,"Femton minuter från Eslöv","20 bästa / Musik vi minns...","Östen Warnerbring",2001-01-01,210706,36,false,8blrladeh06ispxcd2fkwkdel,2026-09-20T20:22:52Z,"dansband","Universal Music AB",0.439,0.424,8,-11.997,1,0.0565,0.842,0,0.119,0.614,138.01,4
spotify:track:0fCc1vCBx1E7G2GGyp9spc,"The First Cut Is the Deepest","Original Master","Papa Dee",1995-03-07,228986,34,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:23:09Z,"acid jazz","WM Sweden",0.78,0.9,6,-7.759,1,0.034,0.106,0.00273,0.143,0.915,101.031,4
spotify:track:2hCUmmNEYmmaZYWXONAx7D,"Flickan och kråkan","Kråksånger","Mikael Wiehe",1981-01-01,230960,42,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:41:22Z,"swedish pop,bisrock","MNW Music AB",0.679,0.464,6,-13.532,0,0.0395,0.472,0.0000161,0.105,0.922,102.315,3
spotify:track:3Atr2OBXJVIpQ96zxuActC,"Got to Get (feat. Leila K)","Rob n Raz (feat. Leila K)","Rob n Raz;Leila K",1990,201466,48,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:21:19Z,"eurodance","WM Sweden",0.805,0.611,1,-15.11,1,0.0471,0.00132,0.00000473,0.084,0.832,116.294,4
spotify:track:5MFxCgdX3CUqpyb58PNw7Q,"Grannar","Rock N Roll","Just D",1992,210413,20,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:22:04Z,"dansband,christmas,swedish pop","WM Sweden",0.782,0.805,11,-5.281,0,0.0597,0.0731,0.0000456,0.116,0.863,99.757,4
spotify:track:1r1TMGdbUEXyJ0Wz8Wwdzp,"Gräsänkling blues","Svenska Sångfavoriter","Povel Ramel",2005-01-19,264160,36,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:31:55Z,"","Parlophone Sweden",0.579,0.261,0,-11.32,1,0.126,0.839,0,0.135,0.562,89.044,4
spotify:track:3RAEe0NUK1XsVJt8bhqk2l,"Guldet blev till sand","Kristina från Duvemåla","Peter Jöback;Malmö Musikteaters kör & ork;Benny Andersson",1996-01-01,253760,31,false,8blrladeh06ispxcd2fkwkdel,2026-09-20T20:23:51Z,"christmas","Mono Music AB",0.296,0.117,4,-16.206,1,0.0375,0.777,0,0.0885,0.155,113.685,4
spotify:track:0q7u1QUZmKDTTa4WekSLST,"Hanna från Arlöv","Livet är en fest","Nationalteatern",1974,219840,38,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T16:38:46Z,"swedish pop","MNW Music AB",0.588,0.422,0,-12.054,1,0.0302,0.225,0,0.486,0.832,123.627,4
spotify:track:6QAw6oxTw2Dbe6irIQyMQz,"Hey Princess","Lacquer","Popsicle",1992-03-03,219733,34,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:22:43Z,"swedish pop,jangle pop,power pop","WM Sweden",0.276,0.794,9,-3.253,1,0.0611,0.0000198,0.149,0.164,0.338,75.715,4
spotify:track:4rg0qXQd00nfQTTpu5U6sP,"Himlen är oskyldigt blå","I'd Rather Write A Symphony (Remastered 2009)","Ted Gärdestad",1980,273320,54,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:22:43Z,"swedish pop","Universal Music AB",0.363,0.679,5,-6.895,1,0.0355,0.12,0.000382,0.075,0.307,159.323,4
spotify:track:5A2ozzPyNzC5opKM9VxAOj,"IQ","Välkommen till folkhemmet","Magnus Uggla",1983-05-06,210866,35,false,8blrladeh06ispxcd2fkwkdel,2026-09-20T20:23:34Z,"swedish pop","Uggly Music",0.581,0.748,6,-6.074,1,0.054,0.0643,0,0.167,0.664,141.774,4
spotify:track:20P4WIsTo4HA5zO6krjhAp,"Jag blir hellre jagad av vargar","Orup","Orup",1988-03-03,226906,44,false,8blrladeh06ispxcd2fkwkdel,2026-09-18T17:19:52Z,"swedish pop","WM Sweden",0.701,0.907,0,-4.1,0,0.0329,0.106,0.0000131,0.0974,0.766,98.334,4
