Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0H33WTImWuFJW2jKpv1Web,"Alla har glömt","Diamanter","Towa Carson",2007-06-29,191186,28,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"dansband,schlager,swedish pop","Parlophone Sweden",0.459,0.437,1,-6.178,1,0.032,0.614,0,0.137,0.602,126.937,4
spotify:track:1CgZOvsW74ugXZMZLQcIK8,"Balladen om den kaxiga myran","Visor för smutsiga öron","Stefan Demert",1970-01-01,148720,37,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:13:07Z,"dansband","Universal Music AB",0.828,0.481,0,-7.272,1,0.116,0.828,0,0.179,0.926,118.958,4
spotify:track:5AQ9kG4HIsbFIn9mbElY32,"Boyss","Capitol City","Strix Q",1979-03-16,320826,15,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:16:33Z,"swedish pop","Columbia",0.604,0.557,2,-14.794,1,0.0436,0.0126,0.0282,0.636,0.852,114.009,4
spotify:track:29wJiSQcze8HEmxkUQykyp,"Carrie","The Final Countdown (Expanded Edition)","Europe",1986,272133,74,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:08Z,"glam metal","Portrait/Epic/Legacy",0.455,0.487,7,-7.112,1,0.0264,0.114,0.00000243,0.358,0.139,136.482,4
spotify:track:5hBI68juwgVWKLrf6xOP8O,"Dagny","14 x Owe Thörnqvist","Owe Thörnqvist",1960-03-30,158066,40,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"dansband","WM Sweden",0.693,0.705,7,-6.283,1,0.0352,0.407,0,0.108,0.904,100.367,4
spotify:track:46wpXaL4eNuX9vM7dfYIsu,"Det regnar, regnar","Schiffz","Björn Skifs",1975,240626,20,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:14:54Z,"","Parlophone Sweden",0.627,0.907,7,-4.291,1,0.0307,0.187,0,0.383,0.473,125.921,4
spotify:track:3utazvz3JMlnTYp9ygaaQo,"Do You Really Want Me (show respect)","Robyn Is Here","Robyn",1995-10-13,271226,46,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:22:31Z,"swedish pop","Ariola/Ricochet",0.647,0.702,0,-4.751,1,0.0404,0.0085,0.00000308,0.0544,0.497,100.04,4
spotify:track:7tGAFzsMXxCSf1b0vH7iwZ,"Där gullvivan blommar","Grymlings","Grymlings",1990-03-01,261879,53,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:21:05Z,"swedish pop,dansband","WM Sweden",0.581,0.455,4,-6.407,1,0.0239,0.158,0,0.0967,0.0966,104.495,3
spotify:track:2YeIpkRBElT064k4CALpHr,"Efter stormen","Efter stormen","Marie Fredriksson",1987-10-12,242800,47,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:15Z,"swedish pop","Parlophone Sweden",0.654,0.943,2,-3.277,1,0.0455,0.0931,0.00000122,0.306,0.726,125.713,4
spotify:track:3QnOeUwRd1v1eniL3VaQTg,"Eld och djupa vatten","Vägen tillbaka","Ken Ring",1999-01-01,237493,36,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:23:59Z,"norwegian hip hop","Playground Music",0.747,0.618,1,-8.967,1,0.122,0.0125,0,0.316,0.467,92.786,4
spotify:track:4WBxsEPPV17qd7XLBHulFu,"En kungens man","Jag är som jag är","Monica Törnell",1978-01-01,183933,28,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:15:50Z,"swedish pop","Universal Music AB",0.561,0.357,7,-11.202,0,0.0268,0.605,0.0000163,0.311,0.438,92.973,4
spotify:track:1M4cu6mcbevzXhRgaRbTBs,"Fat Mammy Brown","The EP-Collection 1957-1963","Brita Borg",2013-01-01,199173,15,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"","Universal Music AB",0.714,0.493,7,-5.153,1,0.0534,0.424,0,0.406,0.807,111.54,4
spotify:track:2IUWDFVMeFaxDhJ3MXhQsU,"Flash In The Night","Top Secret (Greatest Hits)","Secret Service",2000-01-01,218200,54,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:17:27Z,"italo disco,swedish pop","Universal Music AB",0.686,0.909,6,-3.742,1,0.055,0.117,0.0095,0.742,0.716,125.435,4
spotify:track:0pjjh1qWnHUSZ2hRDxI5AR,"Flickan i en Cole Porter-sång","Puls","Gyllene Tider",1982-08-26,231066,56,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:17:49Z,"swedish pop,dansband","Parlophone Sweden",0.65,0.885,2,-7.664,1,0.0364,0.136,0,0.278,0.78,130.373,4
spotify:track:3RAEe0NUK1XsVJt8bhqk2l,"Guldet blev till sand","Kristina från Duvemåla","Peter Jöback;Malmö Musikteaters kör & ork;Benny Andersson",1996-01-01,253760,32,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:23:04Z,"christmas","Mono Music AB",0.296,0.117,4,-16.206,1,0.0375,0.777,0,0.0885,0.155,113.685,4
spotify:track:5nRwG8w4T1Cly8JO0rI0TC,"Hand i hand","Välkommen till folkhemmet","Magnus Uggla",1983-05-06,279160,33,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:18:30Z,"swedish pop","Uggly Music",0.653,0.6,11,-7.95,1,0.0319,0.425,0,0.284,0.541,111.745,4
spotify:track:3AC8WrZdwW6bycdNtm15fD,"How Will I Know (Who You Are)","Jessica","Jessica Folcker",1998-11-19,216440,52,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:23:50Z,"","Sony Music UK",0.495,0.72,5,-6.716,1,0.0328,0.362,0,0.0986,0.511,203.805,4
spotify:track:2LTYyc9FH1vVhIdqeeJIyE,"Hum, hum från Humlegårn","Hum, hum från Humlegårn","Ragnar Borgedahl",2003-07-07,289413,30,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:13:57Z,"swedish pop","Amigo",0.773,0.729,0,-7.253,1,0.0514,0.254,0,0.146,0.733,128.546,4
spotify:track:1pM2za5fnYcoLJAWBeERZC,"Hur e d möjligt","Svenska Ord","Just D",1991-03-04,219600,11,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:21:45Z,"dansband,christmas,swedish pop","WM Sweden",0.715,0.763,5,-10.147,1,0.11,0.0156,0,0.0531,0.892,94.844,4
spotify:track:71MYDiXqckLfrynGk9EX1o,"Hur ska jag göra för att komma över vägen","Djurens brevlåda","James & Karin",1979,148706,31,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:14:54Z,"children's music","Columbia",0.836,0.575,9,-7.843,1,0.0383,0.41,0.00000943,0.0629,0.972,128.411,4
spotify:track:3vFyLEl6AyGKrm2Bi59U1I,"Hurra du lever, pang du är död!","Hurra du lever, pang du är död!","Eric Gadd",1989-01-01,260000,7,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:20:23Z,"swedish pop","Universal Music AB",0.573,0.729,9,-10.327,1,0.0393,0.135,0.00171,0.0579,0.894,99.995,4
spotify:track:5VBYia2HP6EkctTMQmSL1n,"Ingen kommer undan politiken","Marie's Bästa","Marie Bergman",1994,176560,4,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:15:50Z,"swedish pop,schlager","WM Sweden",0.766,0.639,1,-7.011,0,0.0279,0.535,0,0.453,0.962,101.176,4
spotify:track:26UF4n2RLiTGvP0Sg8hfWQ,"Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","40-Bästa","Lill-Babs",2019-02-20,147826,27,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"dansband,epadunk,swedish pop","Universal Music AB",0.662,0.665,9,-8.185,1,0.129,0.678,0,0.0415,0.964,127.129,4
spotify:track:6rNJUC3lFB1T6iqHAIxsbn,"Jazzbacillen","Siws bästa","Siw Malmkvist",2003,179333,25,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"schlager,dansband,schlagerparty,dansktop","WM Sweden",0.565,0.696,8,-7.112,1,0.156,0.235,0,0.0637,0.899,206.119,4
spotify:track:4wBcEq9lBQo8TR7CgKdf0i,"Joyride","Joyride","Roxette",1991-03-28,263093,70,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:21:32Z,"swedish pop","WM Sweden",0.632,0.77,2,-5.315,1,0.0282,0.0457,0,0.481,0.717,102.359,4
spotify:track:1fEgtkMkRbNN1aaxHTmTMY,"Kevlarsjäl","Hagnesta Hill","kent",1999-12-06,266600,51,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:24:13Z,"swedish pop","RCA Records Label",0.511,0.728,1,-5.172,0,0.0315,0.0233,0,0.101,0.351,135.984,4
spotify:track:4zoWdR02nRwK8NWqpCM151,"Kisses Of Fire","Voulez-Vous","ABBA",1979,196560,55,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:16:28Z,"","Polar Music International AB",0.589,0.754,1,-6.963,0,0.0466,0.147,0.000209,0.427,0.622,135.449,4
spotify:track:0GAY8D7SCWCASXPr98bzJv,"Lev så","En blekt blondins hjärta","Eva Dahlgren",1991-09-12,301800,30,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:21:32Z,"swedish pop","Record Station",0.601,0.469,11,-11.541,1,0.0288,0.0406,0.000205,0.152,0.382,132.377,4
spotify:track:6JQ2Hf3T2znvj2mV3qEtdJ,"Likbil","Upp igen","Robert Broberg",1983,201440,9,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:18:27Z,"swedish pop,dansband","Parlophone Sweden",0.907,0.312,6,-11.359,1,0.0662,0.679,0.00105,0.334,0.809,134.229,4
spotify:track:3PG5vMKkFmxo8N1zlfXxlx,"Love March","Ramadan","Björn J:son Lindh",1971,182920,3,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:13:07Z,"jazz fusion","WM Sweden",0.768,0.365,7,-12.216,1,0.0596,0.584,0.122,0.0921,0.7,123.611,4
spotify:track:2Gy0kz78XF9tNaSSxZSpFk,"Macken","En gó box","Galenskaparna & After Shave",1994,167400,41,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:08Z,"dansband","Kulturtuben",0.678,0.769,9,-7.081,1,0.0414,0.452,0,0.343,0.961,148.063,4
spotify:track:3MceuXaKnT5szNguqVqDoG,"Mamma pappa barn","Kärlek och uppror","Ebba Grön",1981-01-01,183013,44,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:17:27Z,"punk,swedish pop","MNW Music AB",0.542,0.797,0,-12.622,1,0.045,0.00314,0.00493,0.205,0.725,157.1,4
spotify:track:4etCE6OCdqXJkeuoAdRIWf,"Min mor sa till mej","Orup","Orup",1988-03-03,242906,39,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:54Z,"swedish pop","WM Sweden",0.694,0.915,0,-4.539,1,0.0325,0.205,0.000092,0.332,0.963,136.371,4
spotify:track:3YRdyQLHvO5R8RYNWNf1UN,"Mitt i ett äventyr","Hits","Carola",1991-06-06,184200,28,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:20:58Z,"christmas,swedish pop","Rival Records",0.719,0.944,8,-7.744,1,0.102,0.109,0,0.623,0.704,131.937,4
spotify:track:4t9EUCjCPbdfqtOH25k8AU,"Moviestar","Moviestar","Harpo",1975-12-01,202280,62,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:14:54Z,"","Parlophone Sweden",0.547,0.793,9,-7.78,1,0.0307,0.291,0,0.329,0.708,119.298,4
spotify:track:2SZqYAKT6AVdKAv4KdXprd,"Mälarö kyrka","Våra Mest Älskade Svensktoppar Volym 3, 1968-1969","Lenne Broberg",2003-01-07,153226,39,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"dansband,swedish pop","Parlophone Sweden",0.417,0.605,2,-5.66,1,0.0386,0.805,0.00000321,0.192,0.762,103.951,4
spotify:track:47x88ndVvBkykc2Y5NCKF3,"No Particular Place to Go","Åsa Bodén","Björn Skifs;Byfånarna",1980,164920,45,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:16:55Z,"dansband,rockabilly,epadunk","WM Sweden",0.633,0.559,9,-8.277,1,0.101,0.353,0.0000242,0.093,0.925,134.688,4
spotify:track:7FvATXE1M3dw8e3TQOBf5i,"När showen är slut","Franska kort (Remastered 2009)","Ted Gärdestad",1976,206840,32,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:14:54Z,"swedish pop","Universal Music AB",0.571,0.749,2,-2.686,1,0.0302,0.183,0.00000213,0.0549,0.769,119.86,4
spotify:track:1MzdPcx8gqCwR5gJf74nkC,"Oh Mama","Slammer!","Sator",1988,210666,26,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:54Z,"","WM Sweden",0.633,0.988,7,-10.544,0,0.0413,0.0108,0.00429,0.468,0.681,125.291,4
spotify:track:2UWc3qJaWcV5wsvup0BIyU,"Pop opp i topp (feat. Lill-Babs)","Pop Opp I Topp","Thore Skogman;Lill-Babs",1994-11-07,117533,37,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"dansband,swedish pop,epadunk","Parlophone Sweden",0.715,0.728,9,-7.073,1,0.0421,0.679,0,0.0338,0.972,89.727,4
spotify:track:2nLD8gTED7khxnIHaEsbd5,"Punkjävlar","Eddie Meduza & Roarin' Cadillacs","Eddie Meduza",1979,222080,22,true,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:15:50Z,"dansband,rockabilly,epadunk","Columbia",0.393,0.798,9,-5.575,1,0.222,0.363,0.0105,0.405,0.817,185.381,4
spotify:track:1wtSEG4Lxa3h9Sza10BoER,"Rendez-Vous i Rio","Uppdrag i Genève","Lustans Lakejer",1981-02,195973,24,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:17:38Z,"swedish pop,synthpop","Universal Music AB",0.671,0.898,4,-3.557,0,0.0317,0.0402,0.0000519,0.0779,0.63,144.015,4
spotify:track:13p4BxB2BPIzG3hI8UE6ti,"Ring, Ring - Swedish Version","Ring Ring","ABBA",1973,190013,35,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:13:47Z,"","Polar Music International AB",0.498,0.938,9,-4.565,1,0.0473,0.196,0,0.729,0.943,136.293,4
spotify:track:5qYFXl5TUbmWC8WkXac4Sb,"Rumba i Engelska parken","Boogieman","Owe Thörnqvist",2009-03-30,141880,36,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"dansband","WM Sweden",0.68,0.678,11,-7.148,0,0.0756,0.542,0,0.257,0.905,92.545,4
spotify:track:2jvj3DiSdOIidZjYXNOYb0,"Snurra du min värld","Undringar","Ted Gärdestad",1972-01-01,179746,47,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:13:07Z,"swedish pop","Universal Music AB",0.342,0.705,10,-4.588,1,0.0333,0.0815,0.00000322,0.0775,0.621,170.023,4
spotify:track:6rd8pVJHmhXSaCRdjbutwF,"Somebody's Taken Maria Away","Tom Mick Maniacs","Tom & Mick;Maniacs",1967-04-01,176333,29,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"swedish pop","WM Sweden",0.308,0.687,0,-6.723,1,0.0359,0.193,0.0000188,0.103,0.718,144.926,4
spotify:track:7wcPRVty1Hjj69ezglXfgP,"Sov lilla Totte","Hasse & Tages klassiker","Tage Danielsson;Hasse Alfredson",2001-01-01,249266,17,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:09:55Z,"comedy","Universal Music AB",0.554,0.137,0,-16.072,1,0.0508,0.919,0,0.609,0.373,78.044,4
spotify:track:2hnccZw8mXLyjRyTgSvUXr,"Så länge vi har varann","Mellan dröm och verklighet","Ratata;Frida",1987-01-01,280586,45,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:19:08Z,"swedish pop","Universal Music AB",0.539,0.441,9,-8.506,0,0.0282,0.501,0,0.046,0.335,76.06,4
spotify:track:4GAAPM1He5UgMsG01uDtHw,"Tuesday Afternoon","Vera","Jennifer Brown",1998-11-02,247600,31,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:23:40Z,"swedish pop","RCA/Ricochet",0.737,0.716,11,-8.875,0,0.0315,0.232,0.00000722,0.102,0.882,110.989,4
spotify:track:6cZ3Hl6Ni6aCigo3Vr7pYD,"Tycker om dej","Tycker om dej","Sylvia Vrethammar",1969-01-01,170213,36,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"swedish pop,dansband","Universal Music AB",0.493,0.754,5,-5.312,1,0.0359,0.448,0,0.0867,0.619,112.752,4
spotify:track:18iPIqikVZbeWQjzEfz6ZI,"Uppblåsbara Barbara","Tjejjer","Robert Broberg",1969,137000,19,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:11:43Z,"swedish pop,dansband","Parlophone Sweden",0.648,0.578,2,-9.063,1,0.162,0.812,0.0000147,0.156,0.775,111.883,4
spotify:track:5eJ314ozT4CTPlyjdsGq78,"Utan dina andetag","Om Du Var Här","kent",1997-10-06,264066,59,false,8blrladeh06ispxcd2fkwkdel,2026-08-29T07:23:04Z,"swedish pop","RCA Records Label",0.272,0.657,7,-7.458,1,0.0293,0.000905,0.000345,0.123,0.4,174.637,4
